X;name.for.phylo;Family;Genus;Translation;Symbol
232;Acacia_redolens;Fabaceae;Acacia;Fabaceae.undiff;ACRE9
233;Acalypha_rhomboidea;Euphorbiaceae;Acalypha;Euphorbiaceae;ACRH
234;Acacia_richii;Fabaceae;Acacia;Fabaceae.undiff;ACRI10
235;Acacia_rigens;Fabaceae;Acacia;Fabaceae.undiff;ACRI6
236;Acacia_rivalis;Fabaceae;Acacia;Fabaceae.undiff;ACRI7
237;Acacia_rossei;Fabaceae;Acacia;Fabaceae.undiff;ACRO6
238;Acer_rubrum;Aceraceae;Acer;Acer;ACRU
239;Acacia_rubida;Fabaceae;Acacia;Fabaceae.undiff;ACRU11
240;Acacia_rupicola;Fabaceae;Acacia;Fabaceae.undiff;ACRU12
241;Acer_rubrum;Aceraceae;Acer;Acer;ACRUD
242;Acer_rubrum;Aceraceae;Acer;Acer;ACRUR
243;Acer_rubrum;Aceraceae;Acer;Acer;ACRUT
244;Acacia_saligna;Fabaceae;Acacia;Fabaceae.undiff;ACSA
245;Acacia_salicina;Fabaceae;Acacia;Fabaceae.undiff;ACSA10
246;Acer_saccharinum;Aceraceae;Acer;Acer;ACSA2
247;Acer_saccharum;Aceraceae;Acer;Acer;ACSA3
248;Acacia_saliciformis;Fabaceae;Acacia;Fabaceae.undiff;ACSA9
249;Acer_saccharum;Aceraceae;Acer;Acer;ACSAS
250;Acer_saccharum;Aceraceae;Acer;Acer;ACSAS2
251;Acacia_sclerosperma;Fabaceae;Acacia;Fabaceae.undiff;ACSC10
252;Acalypha_setosa;Euphorbiaceae;Acalypha;Euphorbiaceae;ACSE
253;Acaciella_shrevei;Fabaceae;Acaciella;Fabaceae.undiff;ACSH2
254;Acacia_silvestris;Fabaceae;Acacia;Fabaceae.undiff;ACSI5
255;Acacia_sophorae;Fabaceae;Acacia;Fabaceae.undiff;ACSO4
256;Acer_spicatum;Aceraceae;Acer;Acer;ACSP2
257;Acacia_spectabilis;Fabaceae;Acacia;Fabaceae.undiff;ACSP9
258;Acacia_stenophylla;Fabaceae;Acacia;Fabaceae.undiff;ACST5
259;Acacia_stricta;Fabaceae;Acacia;Fabaceae.undiff;ACST6
260;Acacia_stowardii;Fabaceae;Acacia;Fabaceae.undiff;ACST8
261;Acacia_subulata;Fabaceae;Acacia;Fabaceae.undiff;ACSU10
262;Acacia_sublanata;Fabaceae;Acacia;Fabaceae.undiff;ACSU11
263;Acaciella_suffrutescens;Fabaceae;Acaciella;Fabaceae.undiff;ACSU12
264;Acacia_suaveolens;Fabaceae;Acacia;Fabaceae.undiff;ACSU9
265;Acer_tataricum;Aceraceae;Acer;Acer;ACTA80
266;Acer_tataricum;Aceraceae;Acer;Acer;ACTAT2
267;Acacia_tetragonophylla;Fabaceae;Acacia;Fabaceae.undiff;ACTE8
268;Acacia_terminalis;Fabaceae;Acacia;Fabaceae.undiff;ACTE9
269;Acrocomia_totai;Arecaceae;Acrocomia;Arecaceae;ACTO5
270;Acacia_trineura;Fabaceae;Acacia;Fabaceae.undiff;ACTR6
271;Acacia_ulicifolia;Fabaceae;Acacia;Fabaceae.undiff;ACUL2
272;Acacia_uncinata;Fabaceae;Acacia;Fabaceae.undiff;ACUN2
273;Acacia_undulifolia;Fabaceae;Acacia;Fabaceae.undiff;ACUN3
274;Acacia_urophylla;Fabaceae;Acacia;Fabaceae.undiff;ACUR2
275;Acacia_verticillata;Fabaceae;Acacia;Fabaceae.undiff;ACVE2
276;Acacia_verniciflua;Fabaceae;Acacia;Fabaceae.undiff;ACVE5
277;Acalypha_virginica;Euphorbiaceae;Acalypha;Euphorbiaceae;ACVI
278;Acrocomia_vinifera;Arecaceae;Acrocomia;Arecaceae;ACVI6
279;Acacia_victoriae;Fabaceae;Acacia;Fabaceae.undiff;ACVI7
280;Acacia_viscidula;Fabaceae;Acacia;Fabaceae.undiff;ACVI9
281;Acacia_wattsiana;Fabaceae;Acacia;Fabaceae.undiff;ACWA3
282;Acalypha_wilkesiana;Euphorbiaceae;Acalypha;Euphorbiaceae;ACWI
283;Acoelorraphe_wrightii;Arecaceae;Acoelorraphe;Arecaceae;ACWR4
284;Adesmia_bicolor;Fabaceae;Adesmia;Fabaceae.undiff;ADBI3
285;Adolphia_californica;Rhamnaceae;Adolphia;Rhamnaceae;ADCA2
286;Adenostoma_fasciculatum;Rosaceae;Adenostoma;Rosaceae.undiff;ADFA
287;Adenostoma_fasciculatum;Rosaceae;Adenostoma;Rosaceae.undiff;ADFAF
288;Adenostoma_fasciculatum;Rosaceae;Adenostoma;Rosaceae.undiff;ADFAO
289;Adesmia_filifolia;Fabaceae;Adesmia;Fabaceae.undiff;ADFI2
